id,name,description,slug,url,icon,help_index_title,help_index_content,help_create_title,help_create_content,help_edit_title,help_edit_content,list_order,is_hidden,parent_id,url_parent_id,created_at,updated_at,deleted_at,created_by,updated_by,deleted_by
"1","Dashboard","Dashboard","/","/admin","tachometer-alt","","","","","","","1","0","0","0","2020-01-27 12:11:41","2020-01-27 12:11:41",,"0","0",
"2","Latest Activity","Latest Activity","activities","/admin/activities","history",,,,,,,"3","0","0","0","2020-01-27 12:11:41","2020-09-23 09:17:25",,"0","1",
"3","App","App","website","/admin/activities/website","home",,,,,,,"1","0","2","2","2020-01-27 12:11:41","2020-09-23 09:17:19",,"0","1",
"4","Admin","Admin","admin","/admin/activities/admin","lock","","","","","","","2","0","2","2","2020-01-27 12:11:41","2020-01-27 12:11:41",,"0","0",
"5","Accounts","Accounts","accounts","/admin/accounts","users","","","","","","","5","0","0","0","2020-01-27 12:11:41","2020-09-22 11:03:39",,"0","0",
"6","Clients","Clients","clients","/admin/accounts/clients","user","","","","","","","1","0","5","5","2020-01-27 12:11:41","2020-01-27 12:11:41",,"0","0",
"7","Administrators","","administrators","/admin/accounts/administrators","universal-access","","","","","","","3","0","5","5","2020-01-27 12:11:41","2020-09-22 13:35:18",,"0","0",
"8","Profile","","profile","/admin/profile","user","","","","","","","2","1","0","0","2020-01-27 12:11:41","2020-01-27 12:11:43",,"0","0",
"9","Settings","","settings","/admin/settings","cogs","","","","","","","7","0","0","0","2020-01-27 12:11:41","2020-09-22 11:03:39",,"0","0",
"10","Navigation","Navigation","navigations","/admin/settings/navigations","align-center","Help","Helpful text here - explaining what u can do here...","Information","Please complete the form to create the navigation",,,"4","0","9","9","2020-01-27 12:11:41","2020-09-23 09:16:32",,"0","1",
"11","Navigation Order","Navigation Order","order","/admin/settings/navigations/order","list-ol","","","","","","","1","1","10","10","2020-01-27 12:11:41","2020-01-27 12:11:43",,"0","0",
"12","Roles","Roles","roles","/admin/settings/roles","universal-access","","","","","","","1","0","9","9","2020-01-27 12:11:41","2020-01-27 12:11:41",,"0","0",
"13","Settings","Settings","settings","/admin/settings/settings","cog","","","","","","","2","0","9","9","2020-01-27 13:58:56","2020-09-22 10:39:49","2020-09-22 10:39:49","0","0","1"
"16","Analytics","Website Analytics","analytics","/admin/analytics","chart-line","","","","","","","6","1","0","0","2020-03-20 10:04:00","2020-09-22 11:03:39",,"0","0",
"17","Summary","Analytics Summary","summary","/admin/analytics/summary","star-half-alt","","","","","","","1","0","16","16","2020-03-20 10:05:00","2020-03-20 10:07:00",,"0","0",
"18","Devices","Analytics on Devices used","devices","/admin/analytics/devices","mobile-alt","","","","","","","2","0","16","16","2020-03-20 10:06:00","2020-03-20 10:07:00",,"0","0",
"19","Visits and Referrals","Visits and Referrals","visits-and-referrals","/admin/analytics/visits-and-referrals","link","","","","","","","3","0","16","16","2020-03-20 10:07:00","2020-03-20 10:07:00",,"0","0",
"20","Interests","Interests","interests","/admin/analytics/interests","heart","","","","","","","4","0","16","16","2020-03-20 11:27:00","2020-03-20 11:27:00",,"0","0",
"21","Demographics","Demographics","demographics","/admin/analytics/demographics","female","","","","","","","5","0","16","16","2020-03-20 11:28:00","2020-03-20 11:28:00",,"0","0",
"22","Resources","Resources","resources","/admin/resources","photo-video","","","","","","","4","1","0","0","2020-04-16 11:28:00","2020-09-22 11:03:39",,"0","0",
"23","Categories","Categories","categories","/admin/resources/categories","cubes","","","","","","","1","0","22","22","2020-04-16 11:28:00","2020-04-16 11:28:00",,"0","0",
"24","Photos","Photos","photos","/admin/resources/photos","image","","","","","","","2","0","22","22","2020-04-16 11:28:00","2020-04-16 11:28:00",,"0","0",
"25","Videos","Videos","videos","/admin/resources/videos","video","","","","","","","3","0","22","22","2020-04-16 11:28:00","2020-04-16 11:28:00",,"0","0",
"26","Documents","Documents","documents","/admin/resources/documents","file-pdf","","","","","","","4","0","22","22","2020-04-16 11:28:00","2020-04-16 11:28:00",,"0","0",
